	Gene Name	Gene Start (bp)	Gene End (bp)	length
180	AT1G27420	9519067	9520716	1649
181	AT1G27430	9520825	9527280	6455
182	AT1G27435	9527501	9528878	1377
183	AT1G27460	9534488	9537614	3126
184	AT1G27461	9537736	9539027	1291
185	AT1G27470	9540049	9544303	4254
186	AT1G27520	9558562	9562485	3923
187	AT1G27480	9544410	9546285	1875
188	AT1G27530	9562487	9564031	1544
189	AT1G27535	9564726	9565134	408
190	AT1G27540	9565913	9567906	1993
191	AT1G27550	9568813	9569330	517
192	AT1G27555	9570397	9570962	565
193	AT1G27565	9574550	9575189	639
194	AT1G27570	9575538	9582376	6838
195	AT1G27580	9589807	9591075	1268
196	AT1G27595	9592088	9602917	10829
197	AT1G27610	9606968	9607996	1028
198	AT1G27620	9608153	9610566	2413
199	AT1G27640	9614463	9614906	443
200	AT1G27660	9621398	9626067	4669
201	AT1G27670	9627533	9628749	1216
202	AT1G27690	9636588	9638901	2313
203	AT1G27695	9639024	9640204	1180
204	AT1G27700	9639859	9641902	2043
205	AT1G27720	9642486	9647620	5134
206	AT1G27710	9642472	9643352	880
207	AT1G27750	9657173	9661994	4821
208	AT1G27752	9662021	9667550	5529
209	AT1G27820	9691628	9692560	932
210	AT1G27850	9698298	9703944	5646
211	AT1G27860	9704558	9706238	1680
212	AT1G27870	9706657	9707298	641
213	AT1G27880	9708861	9714366	5505
214	AT1G27890	9714136	9715176	1040
215	AT1G27900	9715342	9720629	5287
216	AT1G27910	9720733	9724800	4067
217	AT1G27930	9730959	9733000	2041
218	AT1G27990	9752742	9753952	1210
219	AT1G28020	9768889	9771157	2268
220	AT1G28030	9771793	9773389	1596
221	AT1G28040	9773580	9775481	1901
222	AT1G28060	9778851	9782907	4056
223	AT1G28070	9782847	9784091	1244
224	AT1G28080	9789691	9791546	1855
225	AT1G28100	9801082	9804394	3312
226	AT1G28120	9812930	9815560	2630
227	AT1G28135	9829261	9829584	323
228	AT1G28140	9831876	9834510	2634
229	AT1G28150	9834642	9836210	1568
230	AT1G28160	9839316	9840124	808
231	AT1G28190	9846747	9848015	1268
232	AT1G28210	9854517	9860158	5641
233	AT1G28240	9868257	9872278	4021
234	AT1G28250	9874247	9875579	1332
235	AT1G28260	9875527	9879433	3906
236	AT1G28265	9879035	9879310	275
237	AT1G28280	9885400	9887478	2078
238	AT1G28305	9904710	9905516	806
239	AT1G28306	9906882	9907725	843
240	AT1G28327	9931934	9933451	1517
241	AT1G28340	9939961	9943616	3655
242	AT1G28350	9943737	9949835	6098
243	AT1G28375	9961055	9961745	690
244	AT1G28395	9969246	9971681	2435
245	AT1G28400	9972185	9973942	1757
246	AT1G28410	9976182	9979793	3611
247	AT1G28490	10015856	10018047	2191
248	AT1G28500	10018691	10020479	1788
249	AT1G28510	10023817	10026311	2494
250	AT1G28560	10038029	10041544	3515
251	AT1G28530	10031985	10035638	3653
252	AT1G28540	10035617	10037403	1786
253	AT1G28570	10041576	10044258	2682
254	AT1G28580	10044337	10046552	2215
255	AT1G28590	10047276	10049343	2067
256	AT1G28600	10050957	10053218	2261
257	AT1G28610	10053443	10055881	2438
258	AT1G28630	10058456	10063460	5004
259	AT1G28640	10067563	10069177	1614
260	AT1G28650	10069365	10071108	1743
261	AT1G28660	10071609	10073549	1940
262	AT1G28690	10080042	10081604	1562
263	AT1G28695	10081871	10083122	1251
264	AT1G28710	10086366	10089772	3406
265	AT1G28960	10109500	10111738	2238
266	AT1G28760	10103081	10104883	1802
267	AT1G28765	10105047	10107645	2598
268	AT1G28815	10095674	10096374	700
269	AT1G29000	10112564	10114491	1927
270	AT1G29005	10114912	10115749	837
271	AT1G29030	10128999	10133992	4993
272	AT1G29010	10117715	10119085	1370
273	AT1G29020	10120300	10122973	2673
274	AT1G29025	10124286	10127098	2812
275	AT1G29040	10133983	10136124	2141
276	AT1G29041	10135451	10136241	790
277	AT1G29060	10147605	10149780	2175
278	AT1G29070	10149791	10151407	1616
279	AT1G29100	10168717	10169916	1199
280	AT1G29110	10171683	10173071	1388
281	AT1G29120	10174162	10178521	4359
282	AT1G29140	10178902	10180225	1323
283	AT1G29160	10183390	10184512	1122
284	AT1G29179	10198764	10200255	1491
285	AT1G29180	10199628	10200962	1334
286	AT1G29200	10207577	10210622	3045
287	AT1G29220	10210520	10212722	2202
288	AT1G29240	10216779	10219942	3163
289	AT1G29250	10223266	10224799	1533
290	AT1G29320	10255250	10258343	3093
291	AT1G29330	10258248	10261232	2984
292	AT1G29350	10268421	10273821	5400
293	AT1G29355	10274048	10275539	1491
294	AT1G29370	10277748	10283225	5477
295	AT1G29380	10283396	10286164	2768
296	AT1G29410	10297750	10300073	2323
297	AT1G29418	10300631	10301302	671
298	AT1G29420	10301377	10302099	722
299	AT1G29430	10302585	10303418	833
300	AT1G29460	10307352	10308246	894
301	AT1G29470	10310131	10314147	4016
302	AT1G29480	10317936	10318711	775
303	AT1G29490	10319732	10320402	670
304	AT1G29520	10323636	10324826	1190
305	AT1G29530	10324745	10326848	2103
306	AT1G29560	10332371	10335714	3343
307	AT1G29570	10335910	10337854	1944
308	AT1G29580	10338443	10339146	703
309	AT1G29620	10347363	10349017	1654
310	AT1G29630	10349427	10353833	4406
311	AT1G29640	10355638	10356482	844
312	AT1G29660	10371675	10374005	2330
313	AT1G29670	10375599	10377871	2272
314	AT1G29680	10377790	10378961	1171
315	AT1G29690	10379020	10382153	3133
316	AT1G29700	10384945	10387441	2496
317	AT1G29710	10387514	10389286	1772
318	AT1G29720	10393659	10399873	6214
319	AT1G29730	10400564	10405913	5349
320	AT1G29740	10407220	10413119	5899
321	AT2G04400	1531148	1533737	2589
322	AT1G29760	10422292	10424513	2221
323	AT1G29770	10424463	10425801	1338
324	AT1G29790	10429718	10432123	2405
325	AT1G29800	10432599	10435441	2842
326	AT1G29810	10435374	10437558	2184
327	AT1G29820	10437657	10440786	3129
328	AT1G29830	10441053	10445657	4604
329	AT1G29840	10445619	10447753	2134
330	AT1G29850	10447347	10449969	2622
331	AT1G29880	10459457	10462967	3510
332	AT1G29950	10491698	10494598	2900
333	AT1G29960	10494627	10496205	1578
334	AT1G29965	10498310	10499462	1152
335	AT1G29980	10503239	10506189	2950
336	AT2G04410	1533697	1535118	1421
337	AT1G30020	10515874	10516347	473
338	AT1G30080	10550855	10553295	2440
339	AT1G30090	10559496	10561545	2049
340	AT1G30110	10581735	10584152	2417
341	AT1G30130	10587471	10590209	2738
342	AT1G30140	10598542	10599696	1154
343	AT1G30170	10607888	10609618	1730
344	AT1G30200	10625000	10627135	2135
345	AT1G30240	10641031	10646195	5164
346	AT1G30250	10646842	10647650	808
347	AT1G30260	10650914	10651829	915
348	AT1G30280	10662608	10664668	2060
349	AT1G30290	10670129	10672836	2707
350	AT1G30300	10672973	10675455	2482
351	AT2G04420	1535489	1536250	761
352	AT1G30320	10680079	10683137	3058
353	AT1G30330	10685822	10690988	5166
354	AT1G30350	10709999	10711667	1668
355	AT1G30440	10758743	10762429	3686
356	AT1G30455	10769722	10770775	1053
357	AT1G30470	10779111	10786697	7586
358	AT1G30473	10786979	10788683	1704
359	AT2G04500	1568279	1570271	1992
360	AT1G30510	10806930	10809188	2258
361	AT1G30515	10809200	10809939	739
362	AT1G30540	10816616	10819419	2803
363	AT1G30545	10819495	10822055	2560
364	AT1G30550	10822161	10823903	1742
365	AT1G30580	10831673	10835635	3962
366	AT1G30590	10835735	10840872	5137
367	AT1G30600	10841107	10845242	4135
368	AT1G30630	10858232	10860322	2090
369	AT1G30640	10860619	10865074	4455
370	AT1G30650	10868218	10871297	3079
371	AT1G30660	10876724	10879143	2419
372	AT1G30670	10879173	10880188	1015
373	AT1G30680	10881479	10886472	4993
374	AT1G30690	10887607	10890407	2800
375	AT1G30700	10892445	10894714	2269
376	AT1G30720	10897925	10899975	2050
377	AT1G30730	10900681	10902626	1945
378	AT1G30750	10904775	10905724	949
379	AT1G30755	10905731	10909760	4029
380	AT1G30760	10918267	10920709	2442
381	AT1G30780	10923919	10926561	2642
382	AT1G30790	10932713	10934066	1353
383	AT1G30795	10935684	10936396	712
384	AT1G30800	10936923	10938099	1176
385	AT1G30814	10942648	10944727	2079
386	AT1G30820	10944908	10949482	4574
387	AT1G30845	10979646	10980725	1079
388	AT1G30860	10986496	10989593	3097
389	AT1G30870	10991478	10993083	1605
390	AT1G30880	10993002	10994152	1150
391	AT1G30890	10994243	10996223	1980
392	AT1G30910	11000862	11003226	2364
393	AT1G30920	11004084	11005444	1360
394	AT1G30925	11009888	11012280	2392
395	AT1G30960	11037552	11040084	2532
396	AT1G31010	11054731	11056959	2228
397	AT1G30972	11044628	11045466	838
398	AT1G30974	11046969	11047816	847
399	AT1G30990	11051999	11053295	1296
400	AT1G31040	11069510	11072564	3054
401	AT1G31050	11075398	11079289	3891
402	AT1G31070	11084666	11088589	3923
403	AT1G31080	11091832	11092899	1067
404	AT1G31090	11094407	11095649	1242
405	AT1G31095	11102778	11103644	866
406	AT1G31130	11114693	11116195	1502
407	AT1G31120	11104237	11108095	3858
408	AT1G31150	11119827	11122675	2848
409	AT1G31163	11128732	11130239	1507
410	AT1G31175	11140471	11142716	2245
411	AT2G04515	1573637	1574508	871
412	AT1G31220	11156698	11158683	1985
413	AT1G31240	11163858	11164928	1070
414	AT1G31243	11164639	11165022	383
415	AT1G31250	11166557	11167547	990
416	AT1G31230	11158618	11163274	4656
417	AT1G31300	11193625	11196397	2772
418	AT2G04520	1574562	1575960	1398
419	AT1G31310	11198353	11200141	1788
420	AT1G31370	11238298	11239363	1065
421	AT1G31380	11240451	11241099	648
422	AT1G31390	11243182	11244392	1210
423	AT1G31410	11246817	11249587	2770
424	AT1G31430	11253912	11255745	1833
425	AT1G31440	11255836	11258814	2978
426	AT1G31450	11259851	11261234	1383
427	AT1G31460	11261443	11263364	1921
428	AT1G31490	11271228	11273294	2066
429	AT1G31500	11273573	11276636	3063
430	AT1G31510	11277417	11278462	1045
431	AT1G31520	11278983	11279639	656
432	AT1G31530	11281188	11282468	1280
433	AT1G31540	11288378	11293799	5421
434	AT1G31550	11295446	11297379	1933
435	AT1G31555	11297813	11298409	596
436	AT1G31620	11316941	11317894	953
437	AT1G31660	11330924	11333540	2616
438	AT1G31650	11326251	11330791	4540
439	AT1G31670	11337536	11341889	4353
440	AT1G31690	11343854	11347945	4091
441	AT1G31710	11349697	11355587	5890
442	AT1G31720	11356076	11358095	2019
443	AT1G31730	11359512	11364288	4776
444	AT1G31750	11370585	11372197	1612
445	AT1G31760	11372394	11374301	1907
446	AT1G31772	11377879	11379734	1855
447	AT1G31780	11391199	11394748	3549
448	AT1G31790	11394690	11396018	1328
449	AT1G31800	11396402	11399714	3312
450	AT1G31810	11399607	11406809	7202
451	AT1G31835	11422636	11423684	1048
452	AT1G31840	11423906	11426818	2912
453	AT1G31850	11430100	11434115	4015
454	AT1G31870	11436719	11440275	3556
455	AT1G31880	11445490	11450232	4742
456	AT1G31910	11456802	11463896	7094
457	AT1G31920	11461855	11463857	2002
458	AT2G04540	1581376	1584702	3326
459	AT1G31940	11470056	11471481	1425
460	AT1G31950	11475623	11478548	2925
461	AT1G31960	11479133	11479654	521
462	AT1G31990	11488002	11489318	1316
463	AT1G32000	11508285	11508909	624
464	AT1G32010	11509341	11512040	2699
465	AT1G32020	11512552	11513067	515
466	AT1G32060	11532199	11534639	2440
467	AT1G32090	11539993	11544166	4173
468	AT1G32120	11552426	11556391	3965
469	AT1G32127	11556744	11558702	1958
470	AT1G32140	11562742	11564833	2091
471	AT1G32160	11568654	11570438	1784
472	AT1G32190	11592927	11596056	3129
473	AT1G32210	11605606	11607866	2260
474	AT1G32220	11607854	11609968	2114
475	AT1G32225	11610114	11610625	511
476	AT1G32250	11639741	11640393	652
477	AT1G32260	11640558	11641889	1331
478	AT1G32280	11646189	11647001	812
479	AT1G32300	11651327	11653380	2053
480	AT1G32337	11661815	11662122	307
481	AT1G32360	11672766	11675387	2621
482	AT1G32375	11678886	11680839	1953
483	AT1G32380	11681734	11684520	2786
484	AT1G32410	11693799	11695575	1776
485	AT1G32415	11695596	11697964	2368
486	AT1G32420	11701995	11702903	908
487	AT1G32430	11704932	11706357	1425
488	AT1G32460	11738118	11739326	1208
489	AT1G32500	11749798	11752190	2392
490	AT1G32520	11758211	11759324	1113
491	AT1G32530	11759427	11762635	3208
492	AT1G32550	11771621	11774294	2673
493	AT1G32570	11776765	11777557	792
494	AT1G32580	11783543	11785704	2161
495	AT1G32583	11785806	11788286	2480
496	AT1G32585	11788515	11789177	662
497	AT1G32600	11794802	11795683	881
498	AT1G32630	11797330	11801359	4029
499	AT1G32650	11810531	11810724	193
500	AT1G32690	11820872	11821824	952
501	AT1G32700	11827359	11829933	2574
502	AT1G32710	11833113	11833706	593
503	AT1G32730	11840910	11843308	2398
504	AT1G32740	11844660	11846347	1687
505	AT1G32760	11858080	11859468	1388
506	AT1G32763	11860407	11860923	516
507	AT1G32780	11869752	11872926	3174
508	AT1G32810	11881311	11886015	4704
509	AT1G32850	11902629	11907049	4420
510	AT1G32860	11907044	11909049	2005
511	AT1G32880	11913928	11914735	807
512	AT1G32910	11925320	11927302	1982
513	AT1G32920	11928757	11929993	1236
514	AT1G32928	11931149	11931801	652
515	AT1G32930	11931842	11934759	2917
516	AT1G32950	11941048	11944824	3776
517	AT1G32970	11948650	11951982	3332
518	AT1G32975	11953089	11953899	810
519	AT1G32980	11954278	11955362	1084
520	AT1G33020	11962746	11964832	2086
521	AT1G33050	11967783	11971532	3749
522	AT1G33055	11971308	11972580	1272
523	AT1G33070	11982889	11985299	2410
524	AT1G33080	11985650	11990520	4870
525	AT1G33090	11993298	11996712	3414
526	AT1G33100	11997500	12001421	3921
527	AT1G33102	12002238	12003005	767
528	AT1G33110	12004854	12008852	3998
529	AT1G33260	12064323	12066454	2131
530	AT1G33120	12010879	12012547	1668
531	AT1G33170	12026936	12030539	3603
532	AT1G33230	12046379	12050095	3716
533	AT1G33250	12057198	12059792	2594
534	AT1G33240	12051361	12054753	3392
535	AT1G33265	12066595	12068101	1506
536	AT1G33270	12068063	12070455	2392
537	AT1G33290	12074099	12076289	2190
538	AT1G33320	12081009	12083619	2610
539	AT1G33330	12084914	12086883	1969
540	AT1G33340	12087196	12088999	1803
541	AT1G33350	12089249	12091743	2494
542	AT1G33355	12089635	12089662	27
543	AT1G33390	12099482	12104680	5198
544	AT1G33360	12091780	12096486	4706
545	AT2G04620	1610506	1612960	2454
546	AT2G04621	1610662	1611347	685
547	AT2G04650	1621749	1624647	2898
548	AT1G33420	12120886	12123576	2690
549	AT1G33430	12124237	12126481	2244
550	AT1G33440	12127389	12130444	3055
551	AT1G33470	12144440	12147208	2768
552	AT1G33475	12147188	12148380	1192
553	AT1G33480	12148515	12150617	2102
554	AT1G33490	12150674	12152460	1786
555	AT1G33520	12157054	12159125	2071
556	AT1G33500	12152519	12154921	2402
557	AT1G33530	12159884	12161314	1430
558	AT1G33540	12162112	12164714	2602
559	AT1G33590	12177673	12179628	1955
560	AT1G33600	12180483	12184528	4045
561	AT1G33607	12186941	12187423	482
562	AT1G33612	12191133	12193270	2137
563	AT1G33640	12195722	12196223	501
564	AT1G33680	12203945	12208698	4753
565	AT1G33700	12208308	12214313	6005
566	AT1G33710	12219657	12220289	632
567	AT1G33750	12233632	12236576	2944
568	AT1G33760	12237547	12238710	1163
569	AT1G33770	12241614	12245292	3678
570	AT1G33790	12256474	12260638	4164
571	AT1G33810	12264942	12266920	1978
572	AT1G33811	12267808	12269913	2105
573	AT1G33820	12278438	12279451	1013
574	AT1G33850	12287913	12288210	297
575	AT1G33860	12294394	12295305	911
576	AT1G33870	12301325	12303330	2005
577	AT1G33880	12303862	12305203	1341
578	AT1G33940	12330576	12332785	2209
579	AT1G33890	12308136	12309914	1778
580	AT1G33900	12311518	12313518	2000
581	AT1G33910	12314904	12316258	1354
582	AT1G33930	12323474	12327311	3837
583	AT1G33945	12331977	12332469	492
584	AT1G33950	12332834	12340409	7575
585	AT1G33970	12349304	12351318	2014
586	AT1G34010	12359454	12361313	1859
587	AT1G34020	12366810	12370014	3204
588	AT1G34030	12370065	12371554	1489
589	AT1G34040	12374259	12376367	2108
590	AT1G34042	12379427	12379703	276
591	AT1G34046	12388595	12389447	852
592	AT1G34047	12390238	12390915	677
593	AT1G34050	12393426	12396194	2768
594	AT1G34060	12396397	12398418	2021
595	AT1G34070	12402283	12403209	926
596	AT1G34095	12411670	12412514	844
597	AT1G34110	12417012	12421792	4780
598	AT1G34150	12435882	12439499	3617
599	AT1G34160	12441244	12443368	2124
600	AT1G34200	12455653	12457547	1894
601	AT1G34220	12462849	12466089	3240
602	AT1G34260	12485318	12492207	6889
603	AT1G34270	12492321	12494584	2263
604	AT1G34300	12503360	12506172	2812
605	AT1G34315	12514106	12516521	2415
606	AT1G34317	12516112	12516555	443
607	AT1G34320	12520059	12524377	4318
608	AT1G34340	12530815	12534306	3491
609	AT1G34350	12534426	12536162	1736
610	AT1G34360	12542796	12546244	3448
611	AT1G34370	12550339	12552629	2290
612	AT1G34380	12552655	12554363	1708
613	AT1G34410	12577722	12580824	3102
614	AT1G34400	12565992	12566615	623
615	AT1G34403	12575892	12576173	281
616	AT1G34420	12584345	12587778	3433
617	AT1G34440	12591348	12593579	2231
618	AT1G34470	12604161	12607033	2872
619	AT1G34480	12607222	12609084	1862
620	AT1G34490	12609440	12610495	1055
621	AT1G34550	12646674	12652646	5972
622	AT1G34560	12653961	12654779	818
623	AT1G34575	12657027	12658756	1729
624	AT1G34580	12660497	12663870	3373
625	AT1G34630	12685176	12687641	2465
626	AT1G34640	12687552	12688543	991
627	AT1G34750	12736000	12738196	2196
628	AT1G34760	12743722	12745748	2026
629	AT1G34770	12746405	12748617	2212
630	AT1G34807	12777711	12778231	520
631	AT1G34792	12766263	12766651	388
632	AT1G34800	12773164	12773442	278
633	AT1G34805	12776578	12776856	278
634	AT1G34810	12779992	12780270	278
635	AT1G34815	12783406	12783684	278
636	AT1G34822	12787950	12788590	640
637	AT1G34825	12790122	12790605	483
638	AT1G34827	12791364	12791884	520
639	AT1G34830	12793536	12794023	487
640	AT1G34840	12796984	12797247	263
641	AT1G34850	12800308	12800571	263
642	AT1G35035	12811030	12811308	278
643	AT1G35040	12812157	12812569	412
644	AT1G35150	12864158	12866238	2080
645	AT1G35180	12877107	12878835	1728
646	AT1G35181	12879306	12879470	164
647	AT1G35183	12882654	12884762	2108
648	AT1G35190	12890404	12892955	2551
649	AT1G35210	12896582	12897675	1093
650	AT1G35215	12902718	12906171	3453
651	AT1G35220	12908848	12914858	6010
652	AT1G35240	12927303	12930523	3220
653	AT1G35242	12930980	12931555	575
654	AT1G35250	12932024	12934656	2632
655	AT1G35255	12935647	12936586	939
656	AT1G35290	12947517	12948849	1332
657	AT1G35320	12958841	12962853	4012
658	AT1G35330	12964986	12966113	1127
659	AT1G35340	12977668	12979947	2279
660	AT1G35350	12980689	12984740	4051
661	AT1G35353	12988649	12989373	724
662	AT1G35365	12991392	12992145	753
663	AT1G35375	13005673	13006187	514
664	AT1G35400	13018289	13019198	909
665	AT1G35410	13024161	13024941	780
666	AT1G35435	13032806	13033280	474
667	AT1G35490	13061549	13063455	1906
668	AT1G35500	13066087	13066596	509
669	AT1G35510	13071165	13074984	3819
670	AT1G35516	13078416	13079773	1357
671	AT1G35537	13105130	13105596	466
672	AT1G35550	13112506	13113136	630
673	AT1G35560	13115824	13117235	1411
674	AT1G35610	13143061	13144988	1927
675	AT1G35614	13148592	13149559	967
676	AT1G35617	13153583	13153948	365
677	AT1G35660	13192608	13198142	5534
678	AT1G35670	13205345	13208289	2944
679	AT1G35710	13220471	13224681	4210
680	AT1G35780	13277259	13280387	3128
681	AT1G35820	13308119	13309257	1138
682	AT1G35890	13341300	13341953	653
683	AT1G35895	13346878	13354225	7347
684	AT1G36005	13432418	13433062	644
685	AT1G36020	13433919	13434340	421
686	AT1G36030	13436586	13436828	242
687	AT1G36050	13450089	13453683	3594
688	AT1G36060	13454496	13456336	1840
689	AT1G36070	13466694	13470936	4242
690	AT1G36078	13481665	13482785	1120
691	AT1G36085	13486004	13486920	916
692	AT1G36100	13494652	13495215	563
693	AT1G36230	13610985	13614051	3066
694	AT1G36240	13614890	13616233	1343
695	AT1G36272	13635336	13635521	185
696	AT1G36280	13640508	13643126	2618
697	AT1G36310	13669425	13671203	1778
698	AT1G36325	13681704	13683045	1341
699	AT1G36380	13700765	13701632	867
700	AT1G36390	13701401	13703573	2172
701	AT1G36510	13761926	13764265	2339
702	AT1G36580	13816459	13818556	2097
703	AT1G36622	13835620	13836954	1334
