Gene Name	Gene Start (bp)	Gene End (bp)
AT1G29025	10124286	10127098
AT1G29040	10133983	10136124
AT1G29041	10135451	10136241
AT1G29060	10147605	10149780
AT1G29070	10149791	10151407
AT1G29100	10168717	10169916
AT1G29110	10171683	10173071
AT1G29120	10174162	10178521
AT1G29140	10178902	10180225
AT1G29160	10183390	10184512
AT1G29179	10198764	10200255
AT1G29180	10199628	10200962
AT1G29200	10207577	10210622
AT1G29220	10210520	10212722
AT1G29240	10216779	10219942
AT1G29250	10223266	10224799
AT1G29320	10255250	10258343
AT1G29330	10258248	10261232
AT1G29350	10268421	10273821
AT1G29355	10274048	10275539
AT1G29370	10277748	10283225
AT1G29380	10283396	10286164
AT1G29410	10297750	10300073
AT1G29418	10300631	10301302
AT1G29420	10301377	10302099
AT1G29430	10302585	10303418
AT1G29460	10307352	10308246
AT1G29470	10310131	10314147
AT1G29480	10317936	10318711
AT1G29490	10319732	10320402
AT1G29520	10323636	10324826
AT1G29530	10324745	10326848
AT1G29560	10332371	10335714
AT1G29570	10335910	10337854
AT1G29580	10338443	10339146
AT1G29620	10347363	10349017
AT1G29630	10349427	10353833
AT1G29640	10355638	10356482
AT1G29660	10371675	10374005
AT1G29670	10375599	10377871
AT1G29680	10377790	10378961
AT1G29690	10379020	10382153
AT1G29700	10384945	10387441
AT1G29710	10387514	10389286
AT1G29720	10393659	10399873
AT1G29730	10400564	10405913
AT1G29740	10407220	10413119
AT2G04400	1531148	1533737
AT1G29760	10422292	10424513
AT1G29770	10424463	10425801
AT1G29790	10429718	10432123
AT1G29800	10432599	10435441
AT1G29810	10435374	10437558
AT1G29820	10437657	10440786
AT1G29830	10441053	10445657
AT1G29840	10445619	10447753
AT1G29850	10447347	10449969
AT1G29880	10459457	10462967
AT1G29950	10491698	10494598
AT1G29960	10494627	10496205
AT1G29965	10498310	10499462
AT1G29980	10503239	10506189
AT2G04410	1533697	1535118
AT1G30020	10515874	10516347
AT1G30080	10550855	10553295
AT1G30090	10559496	10561545
AT1G30110	10581735	10584152
AT1G30130	10587471	10590209
AT1G30140	10598542	10599696
AT1G30170	10607888	10609618
AT1G30200	10625000	10627135
AT1G30240	10641031	10646195
AT1G30250	10646842	10647650
AT1G30260	10650914	10651829
AT1G30280	10662608	10664668
AT1G30290	10670129	10672836
AT1G30300	10672973	10675455
AT2G04420	1535489	1536250
AT1G30320	10680079	10683137
AT1G30330	10685822	10690988
AT1G30350	10709999	10711667
AT1G30440	10758743	10762429
AT1G30455	10769722	10770775
AT1G30470	10779111	10786697
AT1G30473	10786979	10788683
AT2G04500	1568279	1570271
AT1G30510	10806930	10809188
AT1G30515	10809200	10809939
AT1G30540	10816616	10819419
AT1G30545	10819495	10822055
AT1G30550	10822161	10823903
AT1G30580	10831673	10835635
AT1G30590	10835735	10840872
AT1G30600	10841107	10845242
AT1G30630	10858232	10860322
AT1G30640	10860619	10865074
AT1G30650	10868218	10871297
AT1G30660	10876724	10879143
AT1G30670	10879173	10880188
AT1G30680	10881479	10886472
AT1G30690	10887607	10890407
AT1G30700	10892445	10894714
AT1G30720	10897925	10899975
AT1G30730	10900681	10902626
AT1G30750	10904775	10905724
AT1G30755	10905731	10909760
AT1G30760	10918267	10920709
AT1G30780	10923919	10926561
AT1G30790	10932713	10934066
AT1G30795	10935684	10936396
AT1G30800	10936923	10938099
AT1G30814	10942648	10944727
AT1G30820	10944908	10949482
AT1G30845	10979646	10980725
AT1G30860	10986496	10989593
AT1G30870	10991478	10993083
AT1G30880	10993002	10994152
AT1G30890	10994243	10996223
AT1G30910	11000862	11003226
AT1G30920	11004084	11005444
AT1G30925	11009888	11012280
AT1G30960	11037552	11040084
AT1G31010	11054731	11056959
AT1G30972	11044628	11045466
AT1G30974	11046969	11047816
AT1G30990	11051999	11053295
AT1G31040	11069510	11072564
AT1G31050	11075398	11079289
AT1G31070	11084666	11088589
AT1G31080	11091832	11092899
AT1G31090	11094407	11095649
AT1G31095	11102778	11103644
AT1G31130	11114693	11116195
AT1G31120	11104237	11108095
AT1G31150	11119827	11122675
AT1G31163	11128732	11130239
AT1G31175	11140471	11142716
AT2G04515	1573637	1574508
AT1G31220	11156698	11158683
AT1G31240	11163858	11164928
AT1G31243	11164639	11165022
AT1G31250	11166557	11167547
AT1G31230	11158618	11163274
AT1G31300	11193625	11196397
AT2G04520	1574562	1575960
AT1G31310	11198353	11200141
AT1G31370	11238298	11239363
AT1G31380	11240451	11241099
AT1G31390	11243182	11244392
AT1G31410	11246817	11249587
AT1G31430	11253912	11255745
AT1G31440	11255836	11258814
AT1G31450	11259851	11261234
AT1G31460	11261443	11263364
AT1G31490	11271228	11273294
AT1G31500	11273573	11276636
AT1G31510	11277417	11278462
AT1G31520	11278983	11279639
AT1G31530	11281188	11282468
AT1G31540	11288378	11293799
AT1G31550	11295446	11297379
AT1G31555	11297813	11298409
AT1G31620	11316941	11317894
AT1G31660	11330924	11333540
AT1G31650	11326251	11330791
AT1G31670	11337536	11341889
AT1G31690	11343854	11347945
AT1G31710	11349697	11355587
AT1G31720	11356076	11358095
AT1G31730	11359512	11364288
AT1G31750	11370585	11372197
AT1G31760	11372394	11374301
AT1G31772	11377879	11379734
AT1G31780	11391199	11394748
AT1G31790	11394690	11396018
AT1G31800	11396402	11399714
AT1G31810	11399607	11406809
AT1G31835	11422636	11423684
AT1G31840	11423906	11426818
AT1G31850	11430100	11434115
AT1G31870	11436719	11440275
AT1G31880	11445490	11450232
AT1G31910	11456802	11463896
AT1G31920	11461855	11463857
AT2G04540	1581376	1584702
AT1G31940	11470056	11471481
AT1G31950	11475623	11478548
AT1G31960	11479133	11479654
AT1G31990	11488002	11489318
AT1G32000	11508285	11508909
AT1G32010	11509341	11512040
AT1G32020	11512552	11513067
AT1G32060	11532199	11534639
AT1G32090	11539993	11544166
AT1G32120	11552426	11556391
AT1G32127	11556744	11558702
AT1G32140	11562742	11564833
AT1G32160	11568654	11570438
AT1G32190	11592927	11596056
AT1G32210	11605606	11607866
AT1G32220	11607854	11609968
AT1G32225	11610114	11610625
AT1G32250	11639741	11640393
AT1G32260	11640558	11641889
AT1G32280	11646189	11647001
AT1G32300	11651327	11653380
AT1G32337	11661815	11662122
AT1G32360	11672766	11675387
AT1G32375	11678886	11680839
AT1G32380	11681734	11684520
AT1G32410	11693799	11695575
AT1G32415	11695596	11697964
AT1G32420	11701995	11702903
AT1G32430	11704932	11706357
AT1G32460	11738118	11739326
AT1G32500	11749798	11752190
AT1G32520	11758211	11759324
AT1G32530	11759427	11762635
AT1G32550	11771621	11774294
AT1G32570	11776765	11777557
AT1G32580	11783543	11785704
AT1G32583	11785806	11788286
AT1G32585	11788515	11789177
AT1G32600	11794802	11795683
AT1G32630	11797330	11801359
AT1G32650	11810531	11810724
AT1G32690	11820872	11821824
AT1G32700	11827359	11829933
AT1G32710	11833113	11833706
AT1G32730	11840910	11843308
AT1G32740	11844660	11846347
AT1G32760	11858080	11859468
AT1G32763	11860407	11860923
AT1G32780	11869752	11872926
AT1G32810	11881311	11886015
AT1G32850	11902629	11907049
AT1G32860	11907044	11909049
AT1G32880	11913928	11914735
AT1G32910	11925320	11927302
AT1G32920	11928757	11929993
AT1G32928	11931149	11931801
AT1G32930	11931842	11934759
AT1G32950	11941048	11944824
AT1G32970	11948650	11951982
AT1G32975	11953089	11953899
AT1G32980	11954278	11955362
AT1G33020	11962746	11964832
AT1G33050	11967783	11971532
AT1G33055	11971308	11972580
AT1G33070	11982889	11985299
AT1G33080	11985650	11990520
AT1G33090	11993298	11996712
AT1G33100	11997500	12001421
AT1G33102	12002238	12003005
AT1G33110	12004854	12008852
AT1G33260	12064323	12066454
AT1G33120	12010879	12012547
AT1G33170	12026936	12030539
AT1G33230	12046379	12050095
AT1G33250	12057198	12059792
AT1G33240	12051361	12054753
AT1G33265	12066595	12068101
AT1G33270	12068063	12070455
AT1G33290	12074099	12076289
AT1G33320	12081009	12083619
AT1G33330	12084914	12086883
AT1G33340	12087196	12088999
AT1G33350	12089249	12091743
AT1G33355	12089635	12089662
AT1G33390	12099482	12104680
AT1G33360	12091780	12096486
AT2G04620	1610506	1612960
AT2G04621	1610662	1611347
AT2G04650	1621749	1624647
AT1G33420	12120886	12123576
AT1G33430	12124237	12126481
AT1G33440	12127389	12130444
AT1G33470	12144440	12147208
AT1G33475	12147188	12148380
AT1G33480	12148515	12150617
AT1G33490	12150674	12152460
AT1G33520	12157054	12159125
AT1G33500	12152519	12154921
AT1G33530	12159884	12161314
AT1G33540	12162112	12164714
AT1G33590	12177673	12179628
AT1G33600	12180483	12184528
AT1G33607	12186941	12187423
AT1G33612	12191133	12193270
AT1G33640	12195722	12196223
AT1G33680	12203945	12208698
AT1G33700	12208308	12214313
AT1G33710	12219657	12220289
AT1G33750	12233632	12236576
AT1G33760	12237547	12238710
AT1G33770	12241614	12245292
AT1G33790	12256474	12260638
AT1G33810	12264942	12266920
AT1G33811	12267808	12269913
AT1G33820	12278438	12279451
AT1G33850	12287913	12288210
AT1G33860	12294394	12295305
AT1G33870	12301325	12303330
AT1G33880	12303862	12305203
AT1G33940	12330576	12332785
AT1G33890	12308136	12309914
AT1G33900	12311518	12313518
AT1G33910	12314904	12316258
AT1G33930	12323474	12327311
AT1G33945	12331977	12332469
AT1G33950	12332834	12340409
AT1G33970	12349304	12351318
AT1G34010	12359454	12361313
AT1G34020	12366810	12370014
AT1G34030	12370065	12371554
AT1G34040	12374259	12376367
AT1G34042	12379427	12379703
AT1G34046	12388595	12389447
AT1G34047	12390238	12390915
AT1G34050	12393426	12396194
AT1G34060	12396397	12398418
AT1G34070	12402283	12403209
AT1G34095	12411670	12412514
AT1G34110	12417012	12421792
AT1G34150	12435882	12439499
AT1G34160	12441244	12443368
AT1G34200	12455653	12457547
AT1G34220	12462849	12466089
AT1G34260	12485318	12492207
AT1G34270	12492321	12494584
AT1G34300	12503360	12506172
AT1G34315	12514106	12516521
AT1G34317	12516112	12516555
AT1G34320	12520059	12524377
AT1G34340	12530815	12534306
AT1G34350	12534426	12536162
AT1G34360	12542796	12546244
AT1G34370	12550339	12552629
AT1G34380	12552655	12554363
AT1G34410	12577722	12580824
AT1G34400	12565992	12566615
AT1G34403	12575892	12576173
AT1G34420	12584345	12587778
AT1G34440	12591348	12593579
AT1G34470	12604161	12607033
AT1G34480	12607222	12609084
AT1G34490	12609440	12610495
AT1G34550	12646674	12652646
AT1G34560	12653961	12654779
AT1G34575	12657027	12658756
AT1G34580	12660497	12663870
AT1G34630	12685176	12687641
AT1G34640	12687552	12688543
AT1G34750	12736000	12738196
AT1G34760	12743722	12745748
AT1G34770	12746405	12748617
AT1G34807	12777711	12778231
AT1G34792	12766263	12766651
AT1G34800	12773164	12773442
AT1G34805	12776578	12776856
AT1G34810	12779992	12780270
AT1G34815	12783406	12783684
AT1G34822	12787950	12788590
AT1G34825	12790122	12790605
AT1G34827	12791364	12791884
AT1G34830	12793536	12794023
AT1G34840	12796984	12797247
AT1G34850	12800308	12800571
AT1G35035	12811030	12811308
AT1G35040	12812157	12812569
AT1G35150	12864158	12866238
AT1G35180	12877107	12878835
AT1G35181	12879306	12879470
AT1G35183	12882654	12884762
AT1G35190	12890404	12892955
AT1G35210	12896582	12897675
AT1G35215	12902718	12906171
AT1G35220	12908848	12914858
AT1G35240	12927303	12930523
AT1G35242	12930980	12931555
AT1G35250	12932024	12934656
AT1G35255	12935647	12936586
AT1G35290	12947517	12948849
AT1G35320	12958841	12962853
AT1G35330	12964986	12966113
AT1G35340	12977668	12979947
AT1G35350	12980689	12984740
AT1G35353	12988649	12989373
AT1G35365	12991392	12992145
AT1G35375	13005673	13006187
AT1G35400	13018289	13019198
AT1G35410	13024161	13024941
AT1G35435	13032806	13033280
AT1G35490	13061549	13063455
AT1G35500	13066087	13066596
AT1G35510	13071165	13074984
AT1G35516	13078416	13079773
AT1G35537	13105130	13105596
AT1G35550	13112506	13113136
AT1G35560	13115824	13117235
AT1G35610	13143061	13144988
AT1G35614	13148592	13149559
AT1G35617	13153583	13153948
AT1G35660	13192608	13198142
AT1G35670	13205345	13208289
AT1G35710	13220471	13224681
AT1G35780	13277259	13280387
AT1G35820	13308119	13309257
AT1G35890	13341300	13341953
AT1G35895	13346878	13354225
AT1G36005	13432418	13433062
AT1G36020	13433919	13434340
AT1G36030	13436586	13436828
AT1G36050	13450089	13453683
AT1G36060	13454496	13456336
AT1G36070	13466694	13470936
AT1G36078	13481665	13482785
AT1G36085	13486004	13486920
AT1G36100	13494652	13495215
AT1G36230	13610985	13614051
AT1G36240	13614890	13616233
AT1G36272	13635336	13635521
AT1G36280	13640508	13643126
AT1G36310	13669425	13671203
AT1G36325	13681704	13683045
AT1G36380	13700765	13701632
AT1G36390	13701401	13703573
AT1G36510	13761926	13764265
AT1G36580	13816459	13818556
AT1G36622	13835620	13836954
AT1G36623	13835832	13836121
AT1G36627	13848529	13849091
AT1G36640	13852958	13853687
AT1G36675	13867568	13869490
AT1G36730	13898210	13900831
AT1G36745	13911137	13911679
AT1G36756	13917331	13917816
AT1G36920	13982995	13984424
AT1G36922	13984576	13985480
AT1G36925	13986436	13987289
AT1G36940	14003819	14005502
AT1G36942	14006147	14006341
AT1G36970	14016385	14018356
AT1G36980	14024634	14027040
AT1G36990	14027222	14030500
AT1G37130	14158452	14161938
AT1G37000	14036038	14037145
AT1G37020	14046735	14049742
AT1G37113	14136413	14138703
AT1G38065	14289533	14292098
AT1G38131	14292996	14296253
AT1G38790	14543277	14544528
AT1G39060	14701718	14703805
AT1G39070	14733525	14745983
AT1G40083	14922423	14923055
AT1G40086	14930278	14932360
AT1G40087	14999615	15001868
AT1G40090	15013792	15014764
AT1G40104	15081952	15085893
AT1G40129	15240553	15244036
AT1G40390	15432576	15434674
AT1G41820	15582423	15585143
AT1G41880	15650635	15652542
AT1G41920	15680978	15684487
AT1G42080	15716714	15717169
AT1G42190	15761082	15761276
AT1G42430	15891281	15894576
AT1G42440	15895197	15900105
AT1G42470	15926676	15935529
AT1G42480	15936156	15938974
AT1G42525	15966381	15968239
AT1G42615	16037606	16038455
AT1G42680	16041656	16042880
AT1G42560	15980135	15983571
AT1G42700	16066931	16067592
AT1G42710	16077592	16078567
AT1G42960	16125743	16127298
AT1G42980	16133286	16135587
AT1G43005	16151095	16152240
AT1G43010	16153609	16154468
AT1G43020	16155278	16157950
AT1G43040	16184038	16184776
AT1G43080	16213995	16215828
AT1G43090	16217197	16219150
AT1G43100	16220519	16222473
AT1G43140	16232785	16236109
AT1G43145	16238525	16240015
AT1G43171	16269075	16270513
AT1G43245	16308510	16311094
AT1G43260	16318253	16319234
AT1G43310	16345916	16346475
AT1G43320	16356762	16357118
AT1G43330	16359029	16360023
AT1G43580	16410372	16412736
AT1G43600	16415357	16416022
AT1G43605	16416733	16417928
AT1G43610	16424578	16425345
AT1G43630	16436250	16437755
AT1G43665	16452981	16453804
AT1G43666	16461072	16461734
AT1G43667	16465056	16465565
AT1G43680	16472205	16473343
AT1G43690	16478159	16482859
AT1G43710	16486230	16488462
AT1G43720	16495080	16496078
AT1G43722	16496403	16497377
AT1G43730	16508723	16509784
AT1G43810	16580447	16580800
AT1G43815	16582084	16584556
AT1G43825	16608603	16608818
AT1G43860	16620769	16624504
AT1G43900	16654030	16655928
AT1G43910	16655884	16657686
AT1G43980	16687430	16689563
AT1G44000	16708004	16709713
AT1G44020	16715972	16718656
AT1G44050	16739192	16741652
AT1G44085	16758110	16758508
AT1G44120	16780059	16787623
AT1G44130	16787508	16789436
AT1G44160	16794820	16796450
AT1G44180	16807828	16810565
AT1G44191	16813599	16814733
AT1G44224	16820929	16821823
AT1G44414	16847684	16848343
AT1G44446	16848308	16851271
AT1G44478	16852341	16853238
AT1G44542	16864831	16866787
AT1G44608	16875092	16876549
AT1G44740	16887217	16889155
AT1G44760	16896679	16898645
AT1G44770	16907537	16909572
AT1G44780	16909708	16912270
AT1G44790	16912154	16913664
AT1G44810	16923440	16924821
AT1G44820	16926297	16929196
AT1G44830	16933699	16934568
AT1G44835	16939692	16942558
AT1G44890	16963125	16965019
AT1G44895	16965181	16965586
AT1G44920	16982904	16984444
AT1G44940	16994155	16995044
AT1G44941	16995113	16995295
AT1G44960	16999446	17001734
AT1G44990	17007542	17007808
AT1G45000	17009051	17011929
AT1G45010	17013385	17015520
AT1G45015	17021514	17022795
AT1G45063	17033335	17035105
AT1G45100	17050631	17052189
AT1G45110	17052475	17054827
AT1G45150	17077386	17082592
AT1G45160	17083077	17090588
AT1G45163	17090677	17091464
AT1G45165	17090807	17091338
AT1G45170	17095980	17098041
AT1G45180	17098475	17101954
AT1G45201	17123785	17129223
AT1G45207	17130350	17133809
AT1G45215	17137703	17138251
AT1G45221	17139448	17140012
AT1G45223	17141192	17141771
AT1G45229	17154865	17159397
AT1G45230	17169436	17171472
AT1G45231	17147707	17151211
AT1G45243	17147058	17147849
AT1G45248	17162813	17164779
AT1G45332	17172121	17177060
AT1G45403	17177804	17178415
AT1G45545	17180615	17183237
AT1G45688	17191362	17193314
AT1G46336	17230411	17230653
AT1G47056	17275890	17277839
AT1G46840	17270185	17271706
AT1G47130	17291755	17292755
AT1G47265	17324318	17324911
AT1G47271	17328813	17330536
AT1G47280	17331972	17334412
AT1G47300	17339561	17340972
AT1G47310	17342739	17344828
AT1G47317	17347094	17347515
AT1G47330	17351018	17353875
AT1G47340	17353847	17356564
AT1G47350	17358447	17360722
AT1G47370	17365898	17368703
AT1G47380	17372371	17376091
AT1G47389	17378580	17379391
AT1G47390	17379544	17380656
AT1G47395	17382998	17383830
AT1G47400	17385707	17386485
AT1G47450	17402636	17403214
AT1G47480	17417492	17419442
AT1G47485	17422432	17423071
AT1G47495	17428945	17429813
AT1G47530	17451553	17454461
AT1G47540	17455533	17456186
AT2G04675	1637437	1638647
AT1G47570	17477579	17483502
AT2G04680	1640058	1642209
AT1G47578	17484348	17485470
AT1G47610	17504714	17506043
AT1G47640	17518047	17520129
AT1G47657	17531871	17535174
AT1G47660	17533941	17535551
AT1G47670	17536625	17539719
AT1G47680	17540775	17541089
AT1G47695	17546326	17546545
AT1G47730	17563931	17565106
AT1G47740	17566511	17569297
AT1G47765	17574906	17576092
AT1G47770	17590266	17591261
AT1G47813	17606558	17606818
AT1G47820	17611905	17612613
AT1G47830	17613029	17614986
AT1G47870	17634697	17637809
AT1G47845	17622110	17624274
AT1G47885	17642397	17642805
AT1G47900	17647144	17651791
AT1G47915	17660752	17661058
AT1G47920	17661095	17662455
AT1G47970	17686990	17688859
AT1G47980	17691811	17693887
AT1G48040	17719584	17721891
AT1G48060	17728095	17729102
AT1G48070	17730417	17731157
AT1G48090	17732010	17758508
AT1G48095	17760142	17761998
AT1G48100	17766738	17769951
AT1G48140	17781988	17784211
AT1G48120	17773627	17780106
AT1G48145	17784507	17784913
AT1G48150	17785397	17786368
AT1G48160	17786498	17789024
AT1G48170	17788763	17790246
AT1G48180	17792343	17794460
AT1G48190	17794560	17795163
AT1G48195	17796258	17796784
AT1G48200	17796764	17798337
AT1G48210	17798431	17802330
AT1G48220	17802863	17804955
AT1G48230	17805761	17808993
AT1G48280	17835032	17837781
AT1G48285	17844350	17844900
AT1G48325	17857258	17857722
AT1G48330	17863660	17864558
AT1G48355	17868121	17868536
AT1G48390	17879369	17881251
AT1G48400	17881968	17883967
AT1G48405	17884645	17885614
AT1G48410	17885633	17892632
AT1G48430	17902632	17906873
AT1G48440	17906871	17908534
AT1G48450	17908503	17910523
AT1G48460	17910779	17913344
AT1G48490	17921900	17928954
AT2G04690	1644456	1646443
