chr	source	type	start	end	score	strand	phase	attributes	Gene	te_dist
Chr1	TAIR10	gene	141971	143183	.	+	.	ID=AT1G01360;Note=protein_coding_gene;Name=AT1G01360	AT1G01360	11148
Chr1	TAIR10	gene	143564	145684	.	+	.	ID=AT1G01370;Note=protein_coding_gene;Name=AT1G01370	AT1G01370	8647
Chr1	TAIR10	gene	147153	147942	.	+	.	ID=AT1G01380;Note=protein_coding_gene;Name=AT1G01380	AT1G01380	6389
Chr1	TAIR10	gene	148120	149806	.	-	.	ID=AT1G01390;Note=protein_coding_gene;Name=AT1G01390	AT1G01390	4525
Chr1	TAIR10	gene	150689	152210	.	-	.	ID=AT1G01400;Note=protein_coding_gene;Name=AT1G01400	AT1G01400	2121
Chr1	TAIR10	gene	153113	154198	.	+	.	ID=AT1G01410;Note=protein_coding_gene;Name=AT1G01410	AT1G01410	133
Chr1	TAIR10	gene	154492	156011	.	-	.	ID=AT1G01420;Note=protein_coding_gene;Name=AT1G01420	AT1G01420	74
Chr1	TAIR10	gene	156801	158655	.	-	.	ID=AT1G01430;Note=protein_coding_gene;Name=AT1G01430	AT1G01430	2383
Chr1	TAIR10	gene	159856	162572	.	-	.	ID=AT1G01440;Note=protein_coding_gene;Name=AT1G01440	AT1G01440	5438
Chr1	TAIR10	gene	163419	166239	.	+	.	ID=AT1G01448;Note=other_RNA;Name=AT1G01448	AT1G01448	9001
Chr1	TAIR10	gene	164105	165517	.	-	.	ID=AT1G01450;Note=protein_coding_gene;Name=AT1G01450	AT1G01450	9687
Chr1	TAIR10	gene	166589	167842	.	-	.	ID=AT1G01453;Note=protein_coding_gene;Name=AT1G01453	AT1G01453	12171
Chr1	TAIR10	gene	168723	171165	.	+	.	ID=AT1G01460;Note=protein_coding_gene;Name=AT1G01460	AT1G01460	14305
Chr1	TAIR10	gene	172146	172948	.	-	.	ID=AT1G01470;Note=protein_coding_gene;Name=AT1G01470	AT1G01470	17728
Chr1	TAIR10	gene	173251	173466	.	+	.	ID=AT1G01471;Note=protein_coding_gene;Name=AT1G01471	AT1G01471	18833
Chr1	TAIR10	gene	175782	178400	.	+	.	ID=AT1G01480;Note=protein_coding_gene;Name=AT1G01480	AT1G01480	15274
Chr1	TAIR10	gene	180059	182358	.	-	.	ID=AT1G01490;Note=protein_coding_gene;Name=AT1G01490	AT1G01490	11316
Chr1	TAIR10	gene	185133	186923	.	+	.	ID=AT1G01500;Note=protein_coding_gene;Name=AT1G01500	AT1G01500	6751
Chr1	TAIR10	gene	187211	190056	.	+	.	ID=AT1G01510;Note=protein_coding_gene;Name=AT1G01510	AT1G01510	3618
Chr1	TAIR10	gene	190596	192139	.	+	.	ID=AT1G01520;Note=protein_coding_gene;Name=AT1G01520	AT1G01520	1535
Chr1	TAIR10	gene	192640	193670	.	-	.	ID=AT1G01530;Note=protein_coding_gene;Name=AT1G01530	AT1G01530	4
Chr1	TAIR10	gene	195780	198684	.	+	.	ID=AT1G01540;Note=protein_coding_gene;Name=AT1G01540	AT1G01540	1444
Chr1	TAIR10	gene	199639	201775	.	+	.	ID=AT1G01550;Note=protein_coding_gene;Name=AT1G01550	AT1G01550	5303
Chr1	TAIR10	gene	202136	204335	.	+	.	ID=AT1G01560;Note=protein_coding_gene;Name=AT1G01560	AT1G01560	3695
Chr1	TAIR10	gene	205176	207435	.	+	.	ID=AT1G01570;Note=protein_coding_gene;Name=AT1G01570	AT1G01570	595
Chr1	TAIR10	gene	209395	213041	.	+	.	ID=AT1G01580;Note=protein_coding_gene;Name=AT1G01580	AT1G01580	232
Chr1	TAIR10	gene	214229	217304	.	+	.	ID=AT1G01590;Note=protein_coding_gene;Name=AT1G01590	AT1G01590	70
Chr1	TAIR10	gene	218994	221286	.	+	.	ID=AT1G01600;Note=protein_coding_gene;Name=AT1G01600	AT1G01600	4835
Chr1	TAIR10	gene	221691	224340	.	-	.	ID=AT1G01610;Note=protein_coding_gene;Name=AT1G01610	AT1G01610	7532
Chr1	TAIR10	gene	225665	227302	.	-	.	ID=AT1G01620;Note=protein_coding_gene;Name=AT1G01620	AT1G01620	11506
Chr1	TAIR10	gene	229013	230917	.	+	.	ID=AT1G01630;Note=protein_coding_gene;Name=AT1G01630	AT1G01630	14854
Chr1	TAIR10	gene	230994	232508	.	-	.	ID=AT1G01640;Note=protein_coding_gene;Name=AT1G01640	AT1G01640	16835
Chr1	TAIR10	gene	232841	237817	.	-	.	ID=AT1G01650;Note=protein_coding_gene;Name=AT1G01650	AT1G01650	17895
Chr1	TAIR10	gene	240057	242608	.	-	.	ID=AT1G01660;Note=protein_coding_gene;Name=AT1G01660	AT1G01660	13104
Chr1	TAIR10	gene	242843	245988	.	-	.	ID=AT1G01670;Note=protein_coding_gene;Name=AT1G01670	AT1G01670	9724
Chr1	TAIR10	gene	246411	248367	.	-	.	ID=AT1G01680;Note=protein_coding_gene;Name=AT1G01680	AT1G01680	7345
Chr1	TAIR10	gene	249141	252462	.	+	.	ID=AT1G01690;Note=protein_coding_gene;Name=AT1G01690	AT1G01690	3250
Chr1	TAIR10	gene	252947	254495	.	+	.	ID=AT1G01695;Note=protein_coding_gene;Name=AT1G01695	AT1G01695	1217
Chr1	TAIR10	gene	259495	261474	.	-	.	ID=AT1G01700;Note=protein_coding_gene;Name=AT1G01700	AT1G01700	783
Chr1	TAIR10	gene	262828	267771	.	+	.	ID=AT1G01710;Note=protein_coding_gene;Name=AT1G01710	AT1G01710	4116
Chr1	TAIR10	gene	268330	269819	.	+	.	ID=AT1G01720;Note=protein_coding_gene;Name=AT1G01720	AT1G01720	9618
Chr1	TAIR10	gene	269792	270775	.	-	.	ID=AT1G01725;Note=protein_coding_gene;Name=AT1G01725	AT1G01725	11080
Chr1	TAIR10	gene	270956	272061	.	+	.	ID=AT1G01730;Note=protein_coding_gene;Name=AT1G01730	AT1G01730	12244
Chr1	TAIR10	gene	272111	274569	.	-	.	ID=AT1G01740;Note=protein_coding_gene;Name=AT1G01740	AT1G01740	13399
Chr1	TAIR10	gene	275366	276310	.	+	.	ID=AT1G01750;Note=protein_coding_gene;Name=AT1G01750	AT1G01750	16654
Chr1	TAIR10	gene	276266	278448	.	-	.	ID=AT1G01760;Note=protein_coding_gene;Name=AT1G01760	AT1G01760	17554
Chr1	TAIR10	gene	278615	282891	.	+	.	ID=AT1G01770;Note=protein_coding_gene;Name=AT1G01770	AT1G01770	19903
Chr1	TAIR10	gene	282761	284245	.	+	.	ID=AT1G01780;Note=protein_coding_gene;Name=AT1G01780	AT1G01780	24049
Chr1	TAIR10	gene	284610	291094	.	+	.	ID=AT1G01790;Note=protein_coding_gene;Name=AT1G01790	AT1G01790	18202
Chr1	TAIR10	gene	293342	295040	.	+	.	ID=AT1G01800;Note=protein_coding_gene;Name=AT1G01800	AT1G01800	14256
Chr1	TAIR10	gene	295221	295859	.	+	.	ID=AT1G01810;Note=protein_coding_gene;Name=AT1G01810	AT1G01810	13437
Chr1	TAIR10	gene	296001	298120	.	-	.	ID=AT1G01820;Note=protein_coding_gene;Name=AT1G01820	AT1G01820	11176
Chr1	TAIR10	gene	298535	302315	.	-	.	ID=AT1G01830;Note=protein_coding_gene;Name=AT1G01830	AT1G01830	6981
Chr1	TAIR10	gene	303537	304358	.	+	.	ID=AT1G01840;Note=protein_coding_gene;Name=AT1G01840	AT1G01840	4938
Chr1	TAIR10	gene	304133	306287	.	-	.	ID=AT1G01860;Note=protein_coding_gene;Name=AT1G01860	AT1G01860	3009
Chr1	TAIR10	gene	306384	306456	.	+	.	ID=AT1G01870;Note=tRNA;Name=AT1G01870	AT1G01870	2840
Chr1	TAIR10	gene	306480	309109	.	-	.	ID=AT1G01880;Note=protein_coding_gene;Name=AT1G01880	AT1G01880	187
Chr1	TAIR10	gene	309275	309347	.	-	.	ID=AT1G01890;Note=tRNA;Name=AT1G01890	AT1G01890	0
Chr1	TAIR10	gene	310316	313130	.	+	.	ID=AT1G01900;Note=protein_coding_gene;Name=AT1G01900	AT1G01900	965
Chr1	TAIR10	gene	313101	315902	.	-	.	ID=AT1G01910;Note=protein_coding_gene;Name=AT1G01910	AT1G01910	3750
Chr1	TAIR10	gene	316128	319650	.	+	.	ID=AT1G01920;Note=protein_coding_gene;Name=AT1G01920	AT1G01920	6777
Chr1	TAIR10	gene	319836	322860	.	-	.	ID=AT1G01930;Note=protein_coding_gene;Name=AT1G01930	AT1G01930	10485
Chr1	TAIR10	gene	323027	324917	.	+	.	ID=AT1G01940;Note=protein_coding_gene;Name=AT1G01940	AT1G01940	13676
Chr1	TAIR10	gene	325379	330619	.	+	.	ID=AT1G01950;Note=protein_coding_gene;Name=AT1G01950	AT1G01950	16028
Chr1	TAIR10	gene	330588	337582	.	-	.	ID=AT1G01960;Note=protein_coding_gene;Name=AT1G01960	AT1G01960	12346
Chr1	TAIR10	gene	338291	340077	.	+	.	ID=AT1G01970;Note=protein_coding_gene;Name=AT1G01970	AT1G01970	9851
Chr1	TAIR10	gene	340172	341999	.	-	.	ID=AT1G01980;Note=protein_coding_gene;Name=AT1G01980	AT1G01980	7929
Chr1	TAIR10	gene	343166	344341	.	-	.	ID=AT1G01990;Note=protein_coding_gene;Name=AT1G01990	AT1G01990	5587
Chr1	TAIR10	gene	345812	347592	.	+	.	ID=AT1G02000;Note=protein_coding_gene;Name=AT1G02000	AT1G02000	2336
Chr1	TAIR10	gene	347891	352480	.	+	.	ID=AT1G02010;Note=protein_coding_gene;Name=AT1G02010	AT1G02010	0
Chr1	TAIR10	gene	352637	354969	.	-	.	ID=AT1G02020;Note=protein_coding_gene;Name=AT1G02020	AT1G02020	0
Chr1	TAIR10	gene	355321	357258	.	-	.	ID=AT1G02030;Note=protein_coding_gene;Name=AT1G02030	AT1G02030	571
Chr1	TAIR10	gene	358104	359078	.	-	.	ID=AT1G02040;Note=protein_coding_gene;Name=AT1G02040	AT1G02040	3354
Chr1	TAIR10	gene	359117	360518	.	-	.	ID=AT1G02050;Note=protein_coding_gene;Name=AT1G02050	AT1G02050	4367
Chr1	TAIR10	gene	360918	363094	.	-	.	ID=AT1G02060;Note=protein_coding_gene;Name=AT1G02060	AT1G02060	6168
Chr1	TAIR10	gene	365209	367340	.	+	.	ID=AT1G02065;Note=protein_coding_gene;Name=AT1G02065	AT1G02065	10459
Chr1	TAIR10	gene	370257	370967	.	-	.	ID=AT1G02070;Note=protein_coding_gene;Name=AT1G02070	AT1G02070	15507
Chr1	TAIR10	gene	372064	372210	.	+	.	ID=AT1G02074;Note=protein_coding_gene;Name=AT1G02074	AT1G02074	17314
Chr1	TAIR10	gene	373335	386847	.	+	.	ID=AT1G02080;Note=protein_coding_gene;Name=AT1G02080	AT1G02080	18585
Chr1	TAIR10	gene	387277	389647	.	-	.	ID=AT1G02090;Note=protein_coding_gene;Name=AT1G02090	AT1G02090	32527
Chr1	TAIR10	gene	389812	392816	.	+	.	ID=AT1G02100;Note=protein_coding_gene;Name=AT1G02100	AT1G02100	29858
Chr1	TAIR10	gene	392831	395528	.	+	.	ID=AT1G02110;Note=protein_coding_gene;Name=AT1G02110	AT1G02110	27146
Chr1	TAIR10	gene	395761	399897	.	+	.	ID=AT1G02120;Note=protein_coding_gene;Name=AT1G02120	AT1G02120	22777
Chr1	TAIR10	gene	400035	401882	.	-	.	ID=AT1G02130;Note=protein_coding_gene;Name=AT1G02130	AT1G02130	20792
Chr1	TAIR10	gene	403190	404456	.	-	.	ID=AT1G02140;Note=protein_coding_gene;Name=AT1G02140	AT1G02140	18218
Chr1	TAIR10	gene	404600	408619	.	+	.	ID=AT1G02145;Note=protein_coding_gene;Name=AT1G02145	AT1G02145	14055
Chr1	TAIR10	gene	408622	410611	.	+	.	ID=AT1G02150;Note=protein_coding_gene;Name=AT1G02150	AT1G02150	12063
Chr1	TAIR10	gene	410748	411597	.	+	.	ID=AT1G02160;Note=protein_coding_gene;Name=AT1G02160	AT1G02160	11077
Chr1	TAIR10	gene	411779	413554	.	+	.	ID=AT1G02170;Note=protein_coding_gene;Name=AT1G02170	AT1G02170	9120
Chr1	TAIR10	gene	413522	414645	.	-	.	ID=AT1G02180;Note=protein_coding_gene;Name=AT1G02180	AT1G02180	8029
Chr1	TAIR10	gene	415079	418010	.	+	.	ID=AT1G02190;Note=protein_coding_gene;Name=AT1G02190	AT1G02190	4664
Chr1	TAIR10	gene	418748	422438	.	+	.	ID=AT1G02205;Note=protein_coding_gene;Name=AT1G02205	AT1G02205	236
Chr1	TAIR10	gene	427548	427811	.	-	.	ID=AT1G02210;Note=protein_coding_gene;Name=AT1G02210	AT1G02210	3493
Chr1	TAIR10	gene	428814	430647	.	-	.	ID=AT1G02220;Note=protein_coding_gene;Name=AT1G02220	AT1G02220	663
Chr1	TAIR10	gene	435174	436776	.	-	.	ID=AT1G02230;Note=protein_coding_gene;Name=AT1G02230	AT1G02230	1337
Chr1	TAIR10	gene	437951	439559	.	-	.	ID=AT1G02250;Note=protein_coding_gene;Name=AT1G02250	AT1G02250	4114
Chr1	TAIR10	gene	440441	442877	.	-	.	ID=AT1G02260;Note=protein_coding_gene;Name=AT1G02260	AT1G02260	6604
Chr1	TAIR10	gene	443149	446235	.	-	.	ID=AT1G02270;Note=protein_coding_gene;Name=AT1G02270	AT1G02270	9312
Chr1	TAIR10	gene	448463	450426	.	-	.	ID=AT1G02280;Note=protein_coding_gene;Name=AT1G02280	AT1G02280	10374
Chr1	TAIR10	gene	450527	452737	.	-	.	ID=AT1G02290;Note=protein_coding_gene;Name=AT1G02290	AT1G02290	8063
Chr1	TAIR10	gene	453288	455463	.	+	.	ID=AT1G02300;Note=protein_coding_gene;Name=AT1G02300	AT1G02300	5337
Chr1	TAIR10	gene	455688	458164	.	+	.	ID=AT1G02305;Note=protein_coding_gene;Name=AT1G02305	AT1G02305	2636
Chr1	TAIR10	gene	458133	460696	.	-	.	ID=AT1G02310;Note=protein_coding_gene;Name=AT1G02310	AT1G02310	104
Chr1	TAIR10	gene	461828	461974	.	+	.	ID=AT1G02320;Note=protein_coding_gene;Name=AT1G02320	AT1G02320	176
Chr1	TAIR10	gene	462075	463612	.	-	.	ID=AT1G02330;Note=protein_coding_gene;Name=AT1G02330	AT1G02330	423
Chr1	TAIR10	gene	463855	464924	.	-	.	ID=AT1G02335;Note=protein_coding_gene;Name=AT1G02335	AT1G02335	2203
Chr1	TAIR10	gene	465718	467844	.	-	.	ID=AT1G02340;Note=protein_coding_gene;Name=AT1G02340	AT1G02340	4066
Chr1	TAIR10	gene	469818	470693	.	+	.	ID=AT1G02350;Note=protein_coding_gene;Name=AT1G02350	AT1G02350	3388
Chr1	TAIR10	gene	471990	473160	.	-	.	ID=AT1G02360;Note=protein_coding_gene;Name=AT1G02360	AT1G02360	921
Chr1	TAIR10	gene	474500	476511	.	+	.	ID=AT1G02370;Note=protein_coding_gene;Name=AT1G02370	AT1G02370	324
Chr1	TAIR10	gene	477000	478971	.	+	.	ID=AT1G02380;Note=protein_coding_gene;Name=AT1G02380	AT1G02380	2824
Chr1	TAIR10	gene	480852	483292	.	+	.	ID=AT1G02390;Note=protein_coding_gene;Name=AT1G02390	AT1G02390	6676
Chr1	TAIR10	gene	483764	483919	.	-	.	ID=AT1G02391;Note=protein_coding_gene;Name=AT1G02391	AT1G02391	9588
Chr1	TAIR10	gene	486801	489577	.	+	.	ID=AT1G02400;Note=protein_coding_gene;Name=AT1G02400	AT1G02400	9500
Chr1	TAIR10	gene	489979	490505	.	-	.	ID=AT1G02405;Note=protein_coding_gene;Name=AT1G02405	AT1G02405	8572
Chr1	TAIR10	gene	490925	492926	.	+	.	ID=AT1G02410;Note=protein_coding_gene;Name=AT1G02410	AT1G02410	6151
Chr1	TAIR10	gene	493683	495158	.	+	.	ID=AT1G02420;Note=protein_coding_gene;Name=AT1G02420	AT1G02420	3919
Chr1	TAIR10	gene	495050	496062	.	-	.	ID=AT1G02430;Note=protein_coding_gene;Name=AT1G02430	AT1G02430	3015
Chr1	TAIR10	gene	496586	497479	.	-	.	ID=AT1G02440;Note=protein_coding_gene;Name=AT1G02440	AT1G02440	1598
Chr1	TAIR10	gene	497976	498516	.	-	.	ID=AT1G02450;Note=protein_coding_gene;Name=AT1G02450	AT1G02450	561
Chr1	TAIR10	gene	504673	507204	.	-	.	ID=AT1G02460;Note=protein_coding_gene;Name=AT1G02460	AT1G02460	2702
Chr1	TAIR10	gene	511765	513624	.	-	.	ID=AT1G02470;Note=protein_coding_gene;Name=AT1G02470	AT1G02470	0
Chr1	TAIR10	gene	513843	515404	.	-	.	ID=AT1G02475;Note=protein_coding_gene;Name=AT1G02475	AT1G02475	707
Chr1	TAIR10	gene	515494	515566	.	+	.	ID=AT1G02480;Note=tRNA;Name=AT1G02480	AT1G02480	2358
Chr1	TAIR10	gene	516618	516734	.	+	.	ID=AT1G02490;Note=protein_coding_gene;Name=AT1G02490	AT1G02490	3482
Chr1	TAIR10	gene	518251	520437	.	+	.	ID=AT1G02500;Note=protein_coding_gene;Name=AT1G02500	AT1G02500	5115
Chr1	TAIR10	gene	520498	521668	.	-	.	ID=AT1G02510;Note=protein_coding_gene;Name=AT1G02510	AT1G02510	7362
Chr1	TAIR10	gene	523651	528745	.	+	.	ID=AT1G02520;Note=protein_coding_gene;Name=AT1G02520	AT1G02520	416
Chr1	TAIR10	gene	529795	534677	.	+	.	ID=AT1G02530;Note=protein_coding_gene;Name=AT1G02530	AT1G02530	219
Chr1	TAIR10	gene	534827	535699	.	-	.	ID=AT1G02540;Note=protein_coding_gene;Name=AT1G02540	AT1G02540	1539
Chr1	TAIR10	gene	536483	537211	.	+	.	ID=AT1G02550;Note=protein_coding_gene;Name=AT1G02550	AT1G02550	27
Chr1	TAIR10	gene	537860	540109	.	+	.	ID=AT1G02560;Note=protein_coding_gene;Name=AT1G02560	AT1G02560	160
Chr1	TAIR10	gene	541335	542240	.	+	.	ID=AT1G02570;Note=protein_coding_gene;Name=AT1G02570	AT1G02570	140
Chr1	TAIR10	gene	543110	544007	.	+	.	ID=AT1G02575;Note=protein_coding_gene;Name=AT1G02575	AT1G02575	0
Chr1	TAIR10	gene	544783	549202	.	+	.	ID=AT1G02580;Note=protein_coding_gene;Name=AT1G02580	AT1G02580	141
Chr1	TAIR10	gene	552138	552761	.	-	.	ID=AT1G02590;Note=protein_coding_gene;Name=AT1G02590	AT1G02590	6541
Chr1	TAIR10	gene	552640	552711	.	+	.	ID=AT1G02600;Note=tRNA;Name=AT1G02600	AT1G02600	6591
Chr1	TAIR10	gene	553050	555994	.	-	.	ID=AT1G02610;Note=protein_coding_gene;Name=AT1G02610	AT1G02610	3308
Chr1	TAIR10	gene	557092	557986	.	+	.	ID=AT1G02620;Note=protein_coding_gene;Name=AT1G02620	AT1G02620	1316
Chr1	TAIR10	gene	560610	562424	.	-	.	ID=AT1G02630;Note=protein_coding_gene;Name=AT1G02630	AT1G02630	1053
Chr1	TAIR10	gene	564205	567769	.	+	.	ID=AT1G02640;Note=protein_coding_gene;Name=AT1G02640	AT1G02640	4648
Chr1	TAIR10	gene	568704	570418	.	+	.	ID=AT1G02650;Note=protein_coding_gene;Name=AT1G02650	AT1G02650	9147
Chr1	TAIR10	gene	571955	574981	.	-	.	ID=AT1G02660;Note=protein_coding_gene;Name=AT1G02660	AT1G02660	12288
Chr1	TAIR10	gene	576046	580299	.	+	.	ID=AT1G02670;Note=protein_coding_gene;Name=AT1G02670	AT1G02670	6970
Chr1	TAIR10	gene	580625	582310	.	+	.	ID=AT1G02680;Note=protein_coding_gene;Name=AT1G02680	AT1G02680	4959
Chr1	TAIR10	gene	584260	587219	.	+	.	ID=AT1G02690;Note=protein_coding_gene;Name=AT1G02690	AT1G02690	50
Chr1	TAIR10	gene	588329	589480	.	+	.	ID=AT1G02700;Note=protein_coding_gene;Name=AT1G02700	AT1G02700	98
Chr1	TAIR10	gene	589706	589996	.	-	.	ID=AT1G02710;Note=protein_coding_gene;Name=AT1G02710	AT1G02710	1475
Chr1	TAIR10	gene	591826	594236	.	+	.	ID=AT1G02720;Note=protein_coding_gene;Name=AT1G02720	AT1G02720	3595
Chr1	TAIR10	gene	594573	598657	.	-	.	ID=AT1G02730;Note=protein_coding_gene;Name=AT1G02730	AT1G02730	5743
Chr1	TAIR10	gene	599416	602038	.	-	.	ID=AT1G02740;Note=protein_coding_gene;Name=AT1G02740	AT1G02740	2362
Chr1	TAIR10	gene	602497	604292	.	+	.	ID=AT1G02750;Note=protein_coding_gene;Name=AT1G02750	AT1G02750	108
Chr1	TAIR10	gene	604402	604474	.	+	.	ID=AT1G02760;Note=tRNA;Name=AT1G02760	AT1G02760	0
Chr1	TAIR10	gene	604873	606693	.	-	.	ID=AT1G02770;Note=protein_coding_gene;Name=AT1G02770	AT1G02770	17
Chr1	TAIR10	gene	607808	609465	.	-	.	ID=AT1G02780;Note=protein_coding_gene;Name=AT1G02780	AT1G02780	48
Chr1	TAIR10	gene	610391	612324	.	-	.	ID=AT1G02790;Note=protein_coding_gene;Name=AT1G02790	AT1G02790	44
Chr1	TAIR10	gene	613216	616191	.	-	.	ID=AT1G02800;Note=protein_coding_gene;Name=AT1G02800	AT1G02800	2869
Chr1	TAIR10	gene	618265	620480	.	+	.	ID=AT1G02810;Note=protein_coding_gene;Name=AT1G02810	AT1G02810	7918
Chr1	TAIR10	gene	620678	621289	.	+	.	ID=AT1G02813;Note=protein_coding_gene;Name=AT1G02813	AT1G02813	10331
Chr1	TAIR10	gene	621461	622469	.	+	.	ID=AT1G02816;Note=protein_coding_gene;Name=AT1G02816	AT1G02816	11114
Chr1	TAIR10	gene	623765	624475	.	-	.	ID=AT1G02820;Note=protein_coding_gene;Name=AT1G02820	AT1G02820	9771
Chr1	TAIR10	gene	625145	625608	.	-	.	ID=AT1G02830;Note=protein_coding_gene;Name=AT1G02830	AT1G02830	8638
Chr1	TAIR10	gene	626741	629819	.	+	.	ID=AT1G02840;Note=protein_coding_gene;Name=AT1G02840	AT1G02840	4427
Chr1	TAIR10	gene	630505	633259	.	+	.	ID=AT1G02850;Note=protein_coding_gene;Name=AT1G02850	AT1G02850	987
Chr1	TAIR10	gene	635144	637262	.	+	.	ID=AT1G02860;Note=protein_coding_gene;Name=AT1G02860	AT1G02860	680
